2021-12-30 00:00:01,020 INFO 42946 [egg-logrotator] agent logger reload: got log-reload message
2021-12-30 00:00:26,559 INFO 42946 [egg-watcher] Received a change event from eventSource: {"event":"rename","path":"/Users/heqiang/days/my-leetcode-helper/app/web/page/today-gain/problem-list/icons/attemped_problem_status.svg","stat":{"dev":16777233,"mode":33261,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":19116964,"size":1047,"blocks":8,"atimeMs":1640793626536.918,"mtimeMs":1640793626497,"ctimeMs":1640793626498.723,"birthtimeMs":1640793131255.0159,"atime":"2021-12-29T16:00:26.537Z","mtime":"2021-12-29T16:00:26.497Z","ctime":"2021-12-29T16:00:26.499Z","birthtime":"2021-12-29T15:52:11.255Z"},"remove":false,"isDirectory":false,"isFile":true}
2021-12-30 00:00:26,561 INFO 42946 [egg-watcher] Received a change event from eventSource: {"event":"rename","path":"/Users/heqiang/days/my-leetcode-helper/app/web/asset/icons/attemped_problem_status.svg","remove":true,"isDirectory":false,"isFile":false}
2021-12-30 00:00:26,612 INFO 42946 [egg-watcher] Received a change event from eventSource: {"event":"rename","path":"/Users/heqiang/days/my-leetcode-helper/app/web/page/today-gain/problem-list/icons/done_problem_status.svg","stat":{"dev":16777233,"mode":33261,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":19116965,"size":850,"blocks":8,"atimeMs":1640793626568.3867,"mtimeMs":1640793626555,"ctimeMs":1640793626555.6533,"birthtimeMs":1640793131255.1296,"atime":"2021-12-29T16:00:26.568Z","mtime":"2021-12-29T16:00:26.555Z","ctime":"2021-12-29T16:00:26.556Z","birthtime":"2021-12-29T15:52:11.255Z"},"remove":false,"isDirectory":false,"isFile":true}
2021-12-30 00:00:26,613 INFO 42946 [egg-watcher] Received a change event from eventSource: {"event":"rename","path":"/Users/heqiang/days/my-leetcode-helper/app/web/asset/icons/done_problem_status.svg","remove":true,"isDirectory":false,"isFile":false}
2021-12-30 00:01:53,120 INFO 42946 [egg-watcher] Received a change event from eventSource: {"event":"change","path":"/Users/heqiang/days/my-leetcode-helper/app/web/page/today-gain/index.jsx","stat":{"dev":16777233,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":19116999,"size":754,"blocks":8,"atimeMs":1640793713094.9597,"mtimeMs":1640793713056.9272,"ctimeMs":1640793713056.9272,"birthtimeMs":1640793131258.4734,"atime":"2021-12-29T16:01:53.095Z","mtime":"2021-12-29T16:01:53.057Z","ctime":"2021-12-29T16:01:53.057Z","birthtime":"2021-12-29T15:52:11.258Z"},"remove":false,"isDirectory":false,"isFile":true}
2021-12-30 00:01:54,147 INFO 42946 [egg-watcher] Received a change event from eventSource: {"event":"change","path":"/Users/heqiang/days/my-leetcode-helper/config/manifest.json","stat":{"dev":16777233,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":19181588,"size":800,"blocks":8,"atimeMs":1640793585311.1646,"mtimeMs":1640793714112.4807,"ctimeMs":1640793714112.4807,"birthtimeMs":1640793204375.774,"atime":"2021-12-29T15:59:45.311Z","mtime":"2021-12-29T16:01:54.112Z","ctime":"2021-12-29T16:01:54.112Z","birthtime":"2021-12-29T15:53:24.376Z"},"remove":false,"isDirectory":false,"isFile":true}
2021-12-30 00:02:39,464 INFO 42946 [egg-watcher] Received a change event from eventSource: {"event":"change","path":"/Users/heqiang/days/my-leetcode-helper/app/web/page/today-gain/index.jsx","stat":{"dev":16777233,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":19116999,"size":817,"blocks":8,"atimeMs":1640793759422.1118,"mtimeMs":1640793759394.2378,"ctimeMs":1640793759394.2378,"birthtimeMs":1640793131258.4734,"atime":"2021-12-29T16:02:39.422Z","mtime":"2021-12-29T16:02:39.394Z","ctime":"2021-12-29T16:02:39.394Z","birthtime":"2021-12-29T15:52:11.258Z"},"remove":false,"isDirectory":false,"isFile":true}
2021-12-30 00:02:40,491 INFO 42946 [egg-watcher] Received a change event from eventSource: {"event":"change","path":"/Users/heqiang/days/my-leetcode-helper/config/manifest.json","stat":{"dev":16777233,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":19181588,"size":800,"blocks":8,"atimeMs":1640793760491.5703,"mtimeMs":1640793760467.671,"ctimeMs":1640793760467.671,"birthtimeMs":1640793204375.774,"atime":"2021-12-29T16:02:40.492Z","mtime":"2021-12-29T16:02:40.468Z","ctime":"2021-12-29T16:02:40.468Z","birthtime":"2021-12-29T15:53:24.376Z"},"remove":false,"isDirectory":false,"isFile":true}
2021-12-30 00:02:57,418 INFO 42946 [egg-watcher] Received a change event from eventSource: {"event":"change","path":"/Users/heqiang/days/my-leetcode-helper/app/web/page/today-gain/index.jsx","stat":{"dev":16777233,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":19116999,"size":826,"blocks":8,"atimeMs":1640793777388.337,"mtimeMs":1640793777358.815,"ctimeMs":1640793777358.815,"birthtimeMs":1640793131258.4734,"atime":"2021-12-29T16:02:57.388Z","mtime":"2021-12-29T16:02:57.359Z","ctime":"2021-12-29T16:02:57.359Z","birthtime":"2021-12-29T15:52:11.258Z"},"remove":false,"isDirectory":false,"isFile":true}
2021-12-30 00:02:58,218 INFO 42946 [egg-watcher] Received a change event from eventSource: {"event":"change","path":"/Users/heqiang/days/my-leetcode-helper/config/manifest.json","stat":{"dev":16777233,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":19181588,"size":800,"blocks":8,"atimeMs":1640793760491.5703,"mtimeMs":1640793778190.909,"ctimeMs":1640793778190.909,"birthtimeMs":1640793204375.774,"atime":"2021-12-29T16:02:40.492Z","mtime":"2021-12-29T16:02:58.191Z","ctime":"2021-12-29T16:02:58.191Z","birthtime":"2021-12-29T15:53:24.376Z"},"remove":false,"isDirectory":false,"isFile":true}
